zipcode,city,state, outbound , inbound , netgain ,pct_inbound
1464,SHIRLEY CTR,MA, 93 , 88 , (5),48.6%
1468,TEMPLETON,MA," 1,641 "," 1,735 ", 94 ,51.4%
1469,TOWNSEND,MA," 2,404 "," 2,123 ", (281),46.9%
1473,WESTMINSTER,MA," 2,485 "," 2,694 ", 209 ,52.0%
1474,TOWNSEND,MA, 13 , -   , (13),0.0%
1474,W TOWNSEND,MA, 52 , 37 , (15),41.6%
1474,WEST TOWNSEND,MA, 277 , 266 , (11),49.0%
1475,WINCHENDON,MA," 3,722 "," 3,785 ", 63 ,50.4%
1501,AUBURN,MA," 5,734 "," 5,488 ", (246),48.9%
1503,BERLIN,MA," 1,240 "," 1,548 ", 308 ,55.5%
1504,BLACKSTONE,MA," 2,943 "," 2,958 ", 15 ,50.1%
1505,BOYLSTON,MA," 1,310 "," 1,753 ", 443 ,57.2%
1506,BROOKFIELD,MA," 1,261 "," 1,210 ", (51),49.0%
1507,CHARLTON,MA," 3,562 "," 3,871 ", 309 ,52.1%
1508,CHARLTON CITY,MA, 92 , 27 , (65),22.7%
1510,CLINTON,MA," 7,139 "," 6,171 ", (968),46.4%
1515,E BROOKFIELD,MA, 105 , 98 , (7),48.3%
1515,EAST BROOKFIELD,MA, 608 , 656 , 48 ,51.9%
1516,DOUGLAS,MA," 2,167 "," 2,477 ", 310 ,53.3%
1516,EAST DOUGLAS,MA, 180 , 187 , 7 ,51.0%
1518,FISKDALE,MA," 1,290 "," 1,313 ", 23 ,50.4%
1519,GRAFTON,MA," 2,266 "," 2,286 ", 20 ,50.2%
1520,HOLDEN,MA," 4,186 "," 4,475 ", 289 ,51.7%
1521,HOLLAND,MA, 858 , 913 , 55 ,51.6%
1522,JEFFERSON,MA, 812 , 916 , 104 ,53.0%
1523,LANCASTER,MA," 2,075 "," 2,090 ", 15 ,50.2%
1524,LEICESTER,MA," 2,158 "," 2,080 ", (78),49.1%
1525,LINWOOD,MA, 23 , 40 , 17 ,63.5%
1527,MILLBURY,MA," 4,624 "," 4,816 ", 192 ,51.0%
1529,MILLVILLE,MA, 866 , 816 , (50),48.5%
1531,NEW BRAINTREE,MA, 33 , 43 , 10 ,56.6%
1532,NORTHAMPTON,MA, 117 , 131 , 14 ,52.8%
1532,NORTHBOROUGH,MA," 5,039 "," 5,147 ", 108 ,50.5%
1534,NORTHBRIDGE,MA," 2,410 "," 2,073 ", (337),46.2%
1535,N BROOKFIELD,MA, 166 , 173 , 7 ,51.0%
1535,NORTH BROOKFIELD,MA," 1,530 "," 1,513 ", (17),49.7%
1536,NORTH GRAFTON,MA," 2,280 "," 2,384 ", 104 ,51.1%
1537,GRAFTON,MA, 29 , 20 , (9),40.8%
1537,NORTH OXFORD,MA, 888 , 905 , 17 ,50.5%
1538,N UXBRIDGE,MA, 17 , -   , (17),0.0%
1538,NORTH UXBRIDGE,MA, 58 , -   , (58),0.0%
1540,OXFORD,MA," 3,399 "," 3,386 ", (13),49.9%
1541,PRINCETON,MA, 991 ," 1,136 ", 145 ,53.4%
1542,ROCHDALE,MA, 745 , 626 , (119),45.7%
1543,RUTLAND,MA," 2,410 "," 2,699 ", 289 ,52.8%
1545,SHREWSBURY,MA," 13,524 "," 13,535 ", 11 ,50.0%
1550,SOUTHBRIDGE,MA," 10,959 "," 9,119 "," (1,840)",45.4%
1560,SO GRAFTON,MA, 36 , 31 , (5),46.3%
1560,SOUTH GRAFTON,MA," 1,625 "," 1,552 ", (73),48.9%
1561,SOUTH LANCASTER,MA, 70 , 22 , (48),23.9%
1562,SPENCER,MA," 4,887 "," 4,899 ", 12 ,50.1%
1564,STERLING,MA," 2,187 "," 2,564 ", 377 ,54.0%
1566,STURBRIDGE,MA," 2,685 "," 2,806 ", 121 ,51.1%
1568,UPTON,MA," 2,081 "," 2,565 ", 484 ,55.2%
1569,UXBRIDGE,MA," 3,978 "," 4,381 ", 403 ,52.4%
1570,WEBSTER,MA," 8,719 "," 8,270 ", (449),48.7%
1571,DUDLEY,MA," 3,440 "," 3,309 ", (131),49.0%
1581,WESTBOROUGH,MA," 9,664 "," 9,550 ", (114),49.7%
1583,WEST BOYLSTON,MA," 2,449 "," 2,506 ", 57 ,50.6%
1585,W BROOKFIELD,MA, 111 , 110 , (1),49.8%
1585,WEST BROOKFIELD,MA," 1,332 "," 1,466 ", 134 ,52.4%
1588,WHITINSVILLE,MA," 3,749 "," 3,557 ", (192),48.7%
1590,SUTTON,MA," 2,587 "," 2,945 ", 358 ,53.2%
1601,WORCESTER,MA, 244 , 109 , (135),30.9%
1602,WORCESTER,MA," 9,415 "," 8,378 "," (1,037)",47.1%
1603,WORCESTER,MA," 10,056 "," 8,586 "," (1,470)",46.1%
1604,WORCESTER,MA," 20,518 "," 16,867 "," (3,651)",45.1%
1605,WORCESTER,MA," 15,552 "," 12,395 "," (3,157)",44.4%
1606,WORCESTER,MA," 8,843 "," 7,820 "," (1,023)",46.9%
1607,WORCESTER,MA," 4,866 "," 4,078 ", (788),45.6%
1608,WORCESTER,MA," 4,472 "," 3,749 ", (723),45.6%
1609,WORCESTER,MA," 9,113 "," 7,906 "," (1,207)",46.5%
1610,WORCESTER,MA," 13,817 "," 10,691 "," (3,126)",43.6%
1611,CHERRY VALLEY,MA, 770 , 725 , (45),48.5%
1612,PAXTON,MA, 994 ," 1,173 ", 179 ,54.1%
1613,WORCESTER,MA," 1,269 "," 2,094 ", 825 ,62.3%
1614,WORCESTER,MA, 14 , -   , (14),0.0%
1701,FRAMINGHAM,MA," 11,963 "," 11,707 ", (256),49.5%
1702,FRAMINGHAM,MA," 19,208 "," 15,424 "," (3,784)",44.5%
1704,FRAMINGHAM,MA, 12 , 56 , 44 ,82.4%
1718,ACTON,MA, 13 , 72 , 59 ,84.7%
1719,BOXBORO,MA, 149 , 166 , 17 ,52.7%
1719,BOXBOROUGH,MA," 1,992 "," 1,938 ", (54),49.3%
1720,ACTON,MA," 8,007 "," 7,756 ", (251),49.2%
1721,ASHLAND,MA," 7,176 "," 6,857 ", (319),48.9%
1730,BEDFORD,MA," 5,218 "," 5,215 ", (3),50.0%
1731,BEDFORD,MA, 129 , 92 , (37),41.6%
1731,HANSCOM AFB,MA," 1,316 "," 1,245 ", (71),48.6%
1740,BOLTON,MA," 1,348 "," 1,677 ", 329 ,55.4%
1741,CARLISLE,MA," 1,414 "," 1,632 ", 218 ,53.6%
1742,CONCORD,MA," 6,901 "," 7,288 ", 387 ,51.4%
1745,FAYVILLE,MA, 22 , -   , (22),0.0%
1745,SOUTHBOROUGH,MA, -   , 11 , 11 ,100.0%
1746,HOLLISTON,MA," 3,767 "," 4,184 ", 417 ,52.6%
1747,HOPEDALE,MA," 1,795 "," 1,688 ", (107),48.5%
1748,HOPKINTON,MA," 5,598 "," 6,493 ", 895 ,53.7%
1749,HUDSON,MA," 7,874 "," 7,168 ", (706),47.7%
1752,MARLBOROUGH,MA," 22,209 "," 18,602 "," (3,607)",45.6%
1754,MAYNARD,MA," 3,843 "," 3,990 ", 147 ,50.9%
1756,MENDON,MA," 1,873 "," 1,875 ", 2 ,50.0%
1757,MILFORD,MA," 11,099 "," 9,474 "," (1,625)",46.1%
1760,NATICK,MA," 13,727 "," 13,031 ", (696),48.7%
1770,SHERBORN,MA," 1,232 "," 1,469 ", 237 ,54.4%
1772,SOUTHBOROUGH,MA," 2,991 "," 3,399 ", 408 ,53.2%
1773,LINCOLN,MA," 2,182 "," 2,389 ", 207 ,52.3%
1775,STOW,MA," 1,829 "," 2,122 ", 293 ,53.7%
1776,SUDBURY,MA," 4,765 "," 5,812 "," 1,047 ",54.9%
1778,WAYLAND,MA," 4,064 "," 4,473 ", 409 ,52.4%
1801,WOBURN,MA," 17,909 "," 16,513 "," (1,396)",48.0%
1803,BURLINGTON,MA," 11,260 "," 10,572 ", (688),48.4%
1810,ANDOVER,MA," 11,205 "," 12,095 ", 890 ,51.9%
1821,BILLERICA,MA," 8,665 "," 8,554 ", (111),49.7%
1824,CHELMSFORD,MA," 7,975 "," 8,550 ", 575 ,51.7%
1826,DRACUT,MA," 9,488 "," 9,379 ", (109),49.7%
1827,DUNSTABLE,MA, 730 , 864 , 134 ,54.2%
1830,HAVERHILL,MA," 10,725 "," 10,438 ", (287),49.3%
1831,HAVERHILL,MA, 328 , 561 , 233 ,63.1%
1832,HAVERHILL,MA," 9,848 "," 9,441 ", (407),48.9%
1833,GEORGETOWN,MA," 1,927 "," 2,128 ", 201 ,52.5%
1833,HAVERHILL,MA, 72 , 106 , 34 ,59.6%
1834,GROVELAND,MA," 1,560 "," 1,700 ", 140 ,52.1%
1835,BRADFORD,MA," 1,622 "," 1,748 ", 126 ,51.9%
1835,HAVERHILL,MA," 3,450 "," 3,269 ", (181),48.7%
1840,LAWRENCE,MA," 3,242 "," 3,429 ", 187 ,51.4%
1841,LAWRENCE,MA," 17,302 "," 13,700 "," (3,602)",44.2%
1842,LAWRENCE,MA, 576 ," 1,263 ", 687 ,68.7%
1843,LAWRENCE,MA," 11,217 "," 9,608 "," (1,609)",46.1%
1844,METHUEN,MA," 16,492 "," 16,678 ", 186 ,50.3%
1845,NO ANDOVER,MA, 211 , 190 , (21),47.4%
1845,NORTH ANDOVER,MA," 9,438 "," 9,561 ", 123 ,50.3%
1850,LOWELL,MA," 7,510 "," 6,033 "," (1,477)",44.5%
1851,LOWELL,MA," 14,984 "," 12,558 "," (2,426)",45.6%
1852,LOWELL,MA," 16,858 "," 14,292 "," (2,566)",45.9%
1853,LOWELL,MA, 974 ," 1,722 ", 748 ,63.9%
1854,LOWELL,MA," 10,865 "," 9,230 "," (1,635)",45.9%
1860,MERRIMAC,MA," 1,896 "," 2,223 ", 327 ,54.0%
1862,N BILLERICA,MA, 182 , 206 , 24 ,53.1%
1862,NORTH BILLERICA,MA," 3,678 "," 4,134 ", 456 ,52.9%
1863,N CHELMSFORD,MA, 449 , 378 , (71),45.7%
1863,NORTH CHELMSFORD,MA," 3,077 "," 2,677 ", (400),46.5%
1864,NORTH READING,MA," 4,195 "," 4,648 ", 453 ,52.6%
1867,READING,MA," 6,074 "," 6,819 ", 745 ,52.9%
1876,TEWKSBURY,MA," 9,571 "," 9,602 ", 31 ,50.1%
1879,TYNGSBORO,MA," 3,200 "," 3,722 ", 522 ,53.8%
1880,WAKEFIELD,MA," 8,591 "," 8,671 ", 80 ,50.2%
1886,WESTFORD,MA," 7,133 "," 8,217 "," 1,084 ",53.5%
1887,WILMINGTON,MA," 5,651 "," 5,973 ", 322 ,51.4%
1888,WOBURN,MA, 392 , 350 , (42),47.2%
1890,WINCHESTER,MA," 6,417 "," 7,222 ", 805 ,53.0%
1901,LYNN,MA," 1,775 "," 2,043 ", 268 ,53.5%
1902,LYNN,MA," 19,266 "," 15,543 "," (3,723)",44.7%
1903,LYNN,MA, 862 ," 1,001 ", 139 ,53.7%
1904,EAST LYNN,MA, 253 , 260 , 7 ,50.7%
1904,LYNN,MA," 5,633 "," 5,488 ", (145),49.3%
1905,LYNN,MA," 9,653 "," 8,416 "," (1,237)",46.6%
1906,SAUGUS,MA," 8,838 "," 9,381 ", 543 ,51.5%
1907,SWAMPSCOTT,MA," 5,489 "," 5,506 ", 17 ,50.1%
1908,NAHANT,MA," 1,412 "," 1,403 ", (9),49.8%
1913,AMESBURY,MA," 7,438 "," 6,823 ", (615),47.8%
1915,BEVERLY,MA," 15,793 "," 15,199 ", (594),49.0%
1921,BOXFORD,MA," 2,002 "," 2,287 ", 285 ,53.3%
1922,BYFIELD,MA, 654 , 829 , 175 ,55.9%
1922,NEWBURY,MA, -   , 29 , 29 ,100.0%
1923,DANVERS,MA," 10,143 "," 10,020 ", (123),49.7%
1929,ESSEX,MA," 1,293 "," 1,315 ", 22 ,50.4%
1930,GLOUCESTER,MA," 11,099 "," 11,488 ", 389 ,50.9%
1931,GLOUCESTER,MA, 265 , 232 , (33),46.7%
1936,HAMILTON,MA, 13 , -   , (13),0.0%
1938,IPSWICH,MA," 4,941 "," 5,223 ", 282 ,51.4%
1940,LYNNFIELD,MA," 3,621 "," 3,809 ", 188 ,51.3%
1944,MANCHESTER,MA," 1,477 "," 1,570 ", 93 ,51.5%
1944,MANCHESTER BY THE SEA,MA, 714 , 900 , 186 ,55.8%
1945,MARBLEHEAD,MA," 7,538 "," 7,985 ", 447 ,51.4%
1949,MIDDLETON,MA," 2,435 "," 2,680 ", 245 ,52.4%
1950,NEWBURYPORT,MA," 8,181 "," 7,953 ", (228),49.3%
1951,NEWBURY,MA," 1,294 "," 1,415 ", 121 ,52.2%
1952,SALISBURY,MA," 3,931 "," 4,132 ", 201 ,51.2%
1960,PEABODY,MA," 18,816 "," 17,313 "," (1,503)",47.9%
1961,PEABODY,MA, 237 , 283 , 46 ,54.4%
1965,PRIDES CROSSING,MA, 30 , 24 , (6),44.4%
1966,ROCKPORT,MA," 3,683 "," 3,550 ", (133),49.1%
1969,ROWLEY,MA," 1,666 "," 1,941 ", 275 ,53.8%
1970,SALEM,MA," 20,745 "," 19,611 "," (1,134)",48.6%
1982,S HAMILTON,MA, 419 , 402 , (17),49.0%
1982,SOUTH HAMILTON,MA," 1,672 "," 1,867 ", 195 ,52.8%
1983,TOPSFIELD,MA," 1,715 "," 1,895 ", 180 ,52.5%
1984,HAMILTON,MA, 25 , 25 , -   ,50.0%
1984,WENHAM,MA," 1,115 "," 1,277 ", 162 ,53.4%
1985,WEST NEWBURY,MA," 1,118 "," 1,319 ", 201 ,54.1%
2018,ACCORD,MA, 11 , 11 , -   ,50.0%
2019,BELLINGHAM,MA," 5,050 "," 5,331 ", 281 ,51.4%
2020,BRANT ROCK,MA, 23 , 57 , 34 ,71.3%
2021,CANTON,MA," 8,472 "," 8,811 ", 339 ,51.0%
2025,COHASSET,MA," 2,884 "," 3,271 ", 387 ,53.1%
2026,DEDHAM,MA," 8,549 "," 8,138 ", (411),48.8%
2027,DEDHAM,MA, 26 , 72 , 46 ,73.5%
2030,DOVER,MA," 1,572 "," 1,953 ", 381 ,55.4%
2032,EAST WALPOLE,MA," 1,371 "," 1,457 ", 86 ,51.5%
2035,FOXBORO,MA," 6,223 "," 6,367 ", 144 ,50.6%
2035,FOXBOROUGH,MA, 146 , 184 , 38 ,55.8%
2038,FRANKLIN,MA," 9,871 "," 10,597 ", 726 ,51.8%
2041,GREEN HARBOR,MA, 69 , 120 , 51 ,63.5%
2043,HINGHAM,MA," 8,138 "," 8,909 ", 771 ,52.3%
2045,HULL,MA," 5,474 "," 5,474 ", -   ,50.0%
2047,HUMAROCK,MA, 758 , 393 , (365),34.1%
2048,MANSFIELD,MA," 7,350 "," 7,359 ", 9 ,50.0%
2048,MEDFIELD,MA, 164 , 153 , (11),48.3%
2050,MARSHFIELD,MA," 7,648 "," 7,647 ", (1),50.0%
2051,MARSHFIELD HILLS,MA, 11 , 30 , 19 ,73.2%
2052,MEDFIELD,MA," 2,873 "," 3,394 ", 521 ,54.2%
2053,MEDWAY,MA," 3,184 "," 3,426 ", 242 ,51.8%
2054,MILLIS,MA," 2,463 "," 2,991 ", 528 ,54.8%
2056,NORFOLK,MA," 2,196 "," 2,676 ", 480 ,54.9%
2060,NORTH SCITUATE,MA, 13 , -   , (13),0.0%
2061,NORWELL,MA," 2,911 "," 3,187 ", 276 ,52.3%
2062,NORWOOD,MA," 13,511 "," 12,548 ", (963),48.2%
2065,OCEAN BLUFF,MA, -   , 38 , 38 ,100.0%
2066,SCITUATE,MA," 5,630 "," 6,290 ", 660 ,52.8%
2067,SHARON,MA," 4,621 "," 5,726 "," 1,105 ",55.3%
2070,SHELDONVILLE,MA, -   , 13 , 13 ,100.0%
2071,SOUTH WALPOLE,MA, 38 , 11 , (27),22.4%
2072,STOUGHTON,MA," 10,126 "," 9,683 ", (443),48.9%
2081,WALPOLE,MA," 5,262 "," 6,055 ", 793 ,53.5%
